time,voltage
1719685609576066000,2.465873
1719685609579881000,2.457816
1719685609583984000,2.462651
1719685609587966000,2.470707
1719685609592040000,2.47393
1719685609596471000,2.506258
1719685609601022000,2.467484
1719685609605899000,2.446537
1719685609611141000,2.459428
1719685609616521000,2.469096
1719685609670390000,2.470707
1719685609675059000,2.47393
1719685609680191000,2.44976
1719685609685473000,2.472318
1719685609691171000,2.47393
1719685609697085000,2.464262
1719685609756586000,2.472318
1719685609800258000,2.467484
1719685609841801000,2.457816
1719685609884792000,2.446537
1719685609922461000,2.465873
1719685609968198000,2.467484
1719685610010038000,2.469096
1719685610049208000,2.469096
1719685610088495000,2.470707
1719685610129235000,2.444926
1719685610170448000,2.465873
1719685610211000000,2.472318
1719685610308353000,2.469096
1719685610348769000,2.440091
1719685610391769000,2.461039
1719685610436292000,2.47393
1719685610482141000,2.41431
1719685610529239000,2.452982
1719685610569352000,2.465873
1719685610616614000,2.462651
1719685610659955000,2.464262
1719685610703580000,2.47393
1719685610746486000,2.47393
1719685610787150000,2.457816
1719685610828773000,2.464262
1719685610873902000,2.47393
1719685610975990000,2.47393
1719685611022481000,2.47393
1719685611074195000,2.464262
1719685611124917000,2.457816
1719685611167068000,2.482087
1719685611212989000,2.462651
1719685611261430000,2.44976
1719685611314904000,2.472318
1719685611375871000,2.47393
1719685611419113000,2.457816
1719685611469356000,2.451371
1719685611515642000,2.470707
1719685611561802000,2.452982
1719685611615093000,2.459428
1719685611714958000,2.47393
1719685611764477000,2.44976
1719685611812932000,2.467484
1719685611859951000,2.470707
1719685611905443000,2.477253
1719685611961814000,2.465873
1719685612012263000,2.469096
1719685612057256000,2.459428
1719685612106320000,2.457816
1719685612153659000,2.454594
1719685612203815000,2.451371
1719685612249499000,2.467484
1719685612297841000,2.459428
1719685612344201000,2.462651
1719685612454276000,2.469096
1719685612506882000,2.465873
1719685612559570000,2.470707
1719685612607196000,2.467484
1719685612654747000,2.47393
1719685612702638000,2.47393
1719685612757766000,2.43848
1719685612811035000,2.47393
1719685612859776000,2.47393
1719685612917468000,2.475642
1719685612971034000,2.469096
1719685613024105000,2.467484
1719685613073194000,2.472318
1719685613124213000,2.457816
1719685613231560000,2.465873
1719685613290951000,2.456205
1719685613343473000,2.47393
1719685613398827000,2.470707
1719685613451765000,2.47393
1719685613510125000,2.456205
1719685613564707000,2.47393
1719685613612741000,2.47393
1719685613663410000,2.469096
1719685613716301000,2.469096
1719685613772070000,2.467484
1719685613824622000,2.462651
1719685613876165000,2.454594
1719685613926180000,2.47393
1719685614042039000,2.464262
1719685614095626000,2.465873
1719685614145080000,2.47393
1719685614197943000,2.465873
1719685614251534000,2.465873
1719685614309764000,2.465873
1719685614361718000,2.465873
1719685614415891000,2.459428
1719685614472351000,2.47393
1719685614529242000,2.47393
1719685614585660000,2.457816
1719685614640495000,2.47393
1719685614694114000,2.467484
1719685614748804000,2.459428
1719685614858476000,2.467484
1719685614914235000,2.462651
1719685614967065000,2.47393
1719685615020948000,2.441703
1719685615074042000,2.469096
1719685615134538000,2.469096
1719685615190562000,2.456205
1719685615246470000,2.465873
1719685615300245000,2.446537
1719685615359489000,2.452982
1719685615419724000,2.457816
1719685615472033000,2.462651
1719685615529006000,2.477253
1719685615582588000,2.459428
1719685615700915000,2.452982
1719685615759859000,2.517537
1719685615816434000,2.47393
1719685615871593000,2.459428
1719685615926728000,2.459428
1719685615984214000,2.472318
1719685616043057000,2.47393
1719685616102094000,2.44976
1719685616164011000,2.454594
1719685616222044000,2.456205
1719685616280079000,2.459428
1719685616347713000,2.469096
1719685616440697000,2.457816
1719685616482944000,2.459428
1719685616574713000,2.459428
1719685616615925000,2.467484
1719685616653121000,2.47393
1719685616694227000,2.467484
