time,voltage,average_voltage
2868000,2.41431,2.41431
507987000,2.432035,2.423172
1012924000,2.404642,2.416996
1517991000,2.412699,2.415921
2023218000,2.401419,2.413021
2528761000,2.404642,2.411625
3034412000,2.41431,2.412008
3540452000,2.393362,2.409678
4046882000,2.393362,2.407865
4553223000,2.391751,2.406253
5114651000,2.425589,2.408011
5620453000,2.393362,2.40679
6126433000,2.412699,2.407245
6632822000,2.399808,2.406713
7139446000,2.412699,2.407112
7646494000,2.417533,2.407764
8204157000,2.423978,2.408717
8749991000,2.401419,2.408312
9294376000,2.407864,2.408288
9837514000,2.407864,2.408267
10383093000,2.412699,2.408478
10930971000,2.411087,2.408597
11477984000,2.41431,2.408845
12025192000,2.398196,2.408401
12567052000,2.40303,2.408187
13110174000,2.39014,2.407493
13654750000,2.399808,2.407208
14199054000,2.420755,2.407692
14798311000,2.404642,2.407587
15348953000,2.407864,2.407596
15895636000,2.411087,2.407708
16446695000,2.40303,2.407562
16990130000,2.420755,2.407962
17536330000,2.39014,2.407438
18083180000,2.412699,2.407588
18637383000,2.399808,2.407372
19186486000,2.41431,2.407559
19738630000,2.411087,2.407652
20289805000,2.398196,2.40741
20839879000,2.425589,2.407864
21385677000,2.411087,2.407943
21932355000,2.399808,2.407749
22533347000,2.393362,2.407415
23078688000,2.404642,2.407351
23628895000,2.401419,2.40722
24179217000,2.406253,2.407199
24730549000,2.399808,2.407042
25287849000,2.382083,2.406522
25834019000,2.399808,2.406384
26382699000,2.404642,2.40635
26933667000,2.394974,2.406126
27487269000,2.406253,2.406129
28038202000,2.393362,2.405888
28593048000,2.417533,2.406104
29149708000,2.415921,2.406282
29701492000,2.422367,2.406569
30305951000,2.423978,2.406875
30852377000,2.399808,2.406753
31400314000,2.399808,2.406635
31951112000,2.386917,2.406307
32499192000,2.412699,2.406412
33049669000,2.40303,2.406357
33599696000,2.423978,2.406637
34155788000,2.412699,2.406732
34708686000,2.412699,2.406823
35257091000,2.380471,2.406424
35804864000,2.401419,2.406349
36353882000,2.399808,2.406253
36903550000,2.398196,2.406137
37457455000,2.415921,2.406276
38067919000,2.393362,2.406094
38624249000,2.41431,2.406209
39179596000,2.394974,2.406054
39731446000,2.409476,2.406101
40282267000,2.40303,2.40606
40832440000,2.39014,2.40585
41387583000,2.399808,2.405772
41943951000,2.412699,2.405861
42498243000,2.388528,2.405641
43053669000,2.428812,2.405931
43605787000,2.399808,2.405855
44156833000,2.407864,2.40588
44712037000,2.393362,2.405729
45263458000,2.411087,2.405793
45874101000,2.393362,2.405647
46441439000,2.394974,2.405523
46997571000,2.401419,2.405475
47557016000,2.411087,2.405539
48111481000,2.407864,2.405565
48663617000,2.407864,2.405591
49218323000,2.40303,2.405563
49779237000,2.398196,2.405483
50335447000,2.420755,2.405647
50893166000,2.399808,2.405585
51449768000,2.40303,2.405558
52005455000,2.380471,2.405297
52557997000,2.41431,2.40539
53114919000,2.409476,2.405431
53722718000,2.406253,2.405439
54281821000,2.388528,2.40527
54845552000,2.404642,2.405264
55407088000,2.40303,2.405242
55965216000,2.41431,2.40533
56523637000,2.415921,2.405432
57081081000,2.411087,2.405486
57636210000,2.382083,2.405265
58193501000,2.40303,2.405244
58752622000,2.401419,2.405209
59311791000,2.415921,2.405307
59869595000,2.404642,2.405301
60431462000,2.404642,2.405295
60989748000,2.40303,2.405275
61600138000,2.419144,2.405398
62158497000,2.404642,2.405391
62717297000,2.419144,2.405511
63281557000,2.406253,2.405517
63842464000,2.407864,2.405537
64407638000,2.398196,2.405475
64965952000,2.420755,2.405603
65526872000,2.411087,2.405649
66084313000,2.39014,2.405521
66644743000,2.401419,2.405488
67201618000,2.411087,2.405533
67762851000,2.391751,2.405422
68323296000,2.401419,2.40539
68885098000,2.394974,2.405307
69508339000,2.394974,2.405226
70067260000,2.391751,2.40512
70627614000,2.411087,2.405167
71187883000,2.411087,2.405212
71746166000,2.412699,2.405269
72310008000,2.406253,2.405277
72872116000,2.398196,2.405223
73441364000,2.407864,2.405243
73990809000,2.419144,2.405346
74529818000,2.399808,2.405305
75071681000,2.422367,2.40543
75617387000,2.407864,2.405447
